capture_id,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__species,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index
KRU_S1#1#1#1,KRU_S1,1,1,1,05/21/18,18:30:13,31930547,blank,,,,,,,,,,,,,0.88,0
KRU_S1#1#1#2,KRU_S1,1,1,2,05/21/18,18:31:13,31930663,human,,,,,,,,,,,,,1,0
KRU_S1#1#1#3,KRU_S1,1,1,3,05/31/18,13:24:16,31930737,human,,,,,,,,,,,,,1,0
KRU_S1#1#1#4,KRU_S1,1,1,4,05/31/18,13:25:19,31930748,human,,,,,,,,,,,,,1,0
KRU_S1#1#1#5,KRU_S1,1,1,5,05/31/18,13:26:19,31930760,human,,,,,,,,,,,,,1,0
KRU_S1#1#1#6,KRU_S1,1,1,6,05/31/18,13:27:21,31930771,human,,,,,,,,,,,,,1,0
KRU_S1#1#1#7,KRU_S1,1,1,7,05/31/18,18:16:20,31930783,civet,1,1,1,0.12,0,0.88,0,0,0,,,,0.8,0.64
KRU_S1#1#1#8,KRU_S1,1,1,8,06/01/18,4:41:03,31930794,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#9,KRU_S1,1,1,9,06/01/18,4:42:14,31930806,zebraburchells,1,1,1,0.1,0,0.9,0,0,0,,,,1,0
KRU_S1#1#1#10,KRU_S1,1,1,10,06/01/18,4:43:19,31930548,zebraburchells,1,1,1,0.4,0,0.5,0.2,0,0,,,,1,0
KRU_S1#1#1#11,KRU_S1,1,1,11,06/01/18,4:44:21,31930560,zebraburchells,1,1,1,0.25,0,0.75,0,0,0,,,,1,0
KRU_S1#1#1#12,KRU_S1,1,1,12,06/01/18,4:47:29,31930571,blank,,,,,,,,,,,,,1,0
KRU_S1#1#1#13,KRU_S1,1,1,13,06/01/18,8:24:11,31930583,warthog,1,1,1,0,0,1,0,0,0,,,,0.9,0.47
KRU_S1#1#1#14,KRU_S1,1,1,14,06/01/18,16:02:06,31930594,zebraburchells,1,1,1,1,0,0,0,0,0,,,,1,0
KRU_S1#1#1#15,KRU_S1,1,1,15,06/01/18,16:48:53,31930606,buffalo,1,1,1,0,0,1,0,0,0,,,,1,0.65
KRU_S1#1#1#16,KRU_S1,1,1,16,06/01/18,22:36:02,31930617,buffalo,1,1,1,0.1,0,0.9,0,0,0,,,,1,0
KRU_S1#1#1#17,KRU_S1,1,1,17,06/03/18,0:11:27,31930628,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#18,KRU_S1,1,1,18,06/03/18,0:21:18,31930640,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#19,KRU_S1,1,1,19,06/03/18,0:23:27,31930651,blank,,,,,,,,,,,,,1,0
KRU_S1#1#1#20,KRU_S1,1,1,20,06/03/18,0:24:31,31930664,zebraburchells,1,1,1,0,0,0.6,0.4,0,0,,,,1,0
KRU_S1#1#1#21,KRU_S1,1,1,21,06/03/18,0:25:56,31930675,zebraburchells,1,1,1,0.1,0,0.9,0.1,0,0.2,,,,1,0
KRU_S1#1#1#22,KRU_S1,1,1,22,06/03/18,0:26:56,31930686,zebraburchells,1,1,1,0.7,0,0.3,0,0,0,,,,1,0
KRU_S1#1#1#23,KRU_S1,1,1,23,06/03/18,0:27:58,31930698,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#24,KRU_S1,1,1,24,06/03/18,0:30:52,31930710,zebraburchells,1,1,1,0.4,0,0.7,0,0,0,,,,1,0
KRU_S1#1#1#25,KRU_S1,1,1,25,06/03/18,23:01:53,31930721,buffalo,1,1,1,0.14,0,0.86,0.14,0,0,,,,1,0
KRU_S1#1#1#26,KRU_S1,1,1,26,06/04/18,12:37:18,31930732,blank,,,,,,,,,,,,,0.9,0
KRU_S1#1#1#27,KRU_S1,1,1,27,06/04/18,12:46:06,31930733,blank,,,,,,,,,,,,,1,0
KRU_S1#1#1#28,KRU_S1,1,1,28,06/05/18,21:49:32,31930734,civet,1,1,1,0,0,1,0,0,0,,,,0.88,0.54
KRU_S1#1#1#29,KRU_S1,1,1,29,06/06/18,15:56:43,31930735,zebraburchells,1,1,1,0.2,0,0.9,0,0,0,,,,1,0
KRU_S1#1#1#30,KRU_S1,1,1,30,06/06/18,15:59:38,31930738,zebraburchells,3,3,1,0,0,1,0,0.1,0.5,,,,1,0
KRU_S1#1#1#31,KRU_S1,1,1,31,06/06/18,16:01:06,31930739,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#32,KRU_S1,1,1,32,06/08/18,0:58:02,31930740,civet,1,1,1,0,0,1,0,0,0,,,,0.8,0.58
KRU_S1#1#1#33,KRU_S1,1,1,33,06/08/18,6:30:48,31930741,zebraburchells,1,1,1,0.1,0,0.9,0,0,0,,,,1,0
KRU_S1#1#1#34,KRU_S1,1,1,34,06/08/18,11:15:22,31930742,kudu,1,1,1,0,0,1,0,0,0,1,1,1,0.9,0.47
KRU_S1#1#1#35,KRU_S1,1,1,35,06/08/18,11:25:41,31930743,kudu,1,1,1,0,0,1,0,0,0,1,1,1,0.7,0.68
KRU_S1#1#1#36,KRU_S1,1,1,36,06/08/18,23:25:51,31930744,jackalsidestriped,1,1,1,0,0,1,0,0,0,,,,0.5,0.84
KRU_S1#1#1#37,KRU_S1,1,1,37,06/09/18,0:37:37,31930745,civet,1,1,1,0,0,1,0,0,0,,,,0.71,0.86
KRU_S1#1#1#38,KRU_S1,1,1,38,06/09/18,9:06:57,31930746,zebraburchells,3,3,1,0,0,1,0,0.1,0.1,,,,1,0
KRU_S1#1#1#39,KRU_S1,1,1,39,06/09/18,9:39:53,31930747,zebraburchells,1,1,1,0.4,0,0.9,0,0,0,,,,1,0
KRU_S1#1#1#40,KRU_S1,1,1,40,06/09/18,9:41:32,31930749,zebraburchells,1,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#41,KRU_S1,1,1,41,06/09/18,14:27:54,31930750,warthog,2,1,1,0,0,1,0,0,0,,,,1,0
KRU_S1#1#1#42,KRU_S1,1,1,42,06/11/18,10:15:26,31930751,warthog,1,1,1,0,0,1,0,0,0,,,,1,0
