capture_id,image_rank_in_capture,image_path_rel
KRU_S1#1#1#1,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0001.JPG
KRU_S1#1#1#2,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0002.JPG
KRU_S1#1#1#2,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0003.JPG
KRU_S1#1#1#2,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0004.JPG
KRU_S1#1#1#3,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0005.JPG
KRU_S1#1#1#3,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0006.JPG
KRU_S1#1#1#3,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0007.JPG
KRU_S1#1#1#4,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0008.JPG
KRU_S1#1#1#4,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0009.JPG
KRU_S1#1#1#4,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0010.JPG
KRU_S1#1#1#5,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0011.JPG
KRU_S1#1#1#5,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0012.JPG
KRU_S1#1#1#5,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0013.JPG
KRU_S1#1#1#6,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0014.JPG
KRU_S1#1#1#6,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0015.JPG
KRU_S1#1#1#6,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0016.JPG
KRU_S1#1#1#7,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0017.JPG
KRU_S1#1#1#8,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0018.JPG
KRU_S1#1#1#9,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0019.JPG
KRU_S1#1#1#10,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0020.JPG
KRU_S1#1#1#11,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0021.JPG
KRU_S1#1#1#12,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0022.JPG
KRU_S1#1#1#13,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0023.JPG
KRU_S1#1#1#13,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0024.JPG
KRU_S1#1#1#13,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0025.JPG
KRU_S1#1#1#14,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0026.JPG
KRU_S1#1#1#14,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0027.JPG
KRU_S1#1#1#14,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0028.JPG
KRU_S1#1#1#15,1,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0029.JPG
KRU_S1#1#1#15,2,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0030.JPG
KRU_S1#1#1#15,3,KRU_S1/1/1_R1/KRU_S1_1_R1_IMAG0031.JPG
